,_c0,Borough,startStationName,latitude,longitude,prediction,concat
287,1106,Queens,25 Ave & 41 St,40.767666,-73.910963,999,Queens999
288,1111,Bronx,Hoe Ave & Jennings St,40.832171,-73.889686,999,Bronx999
289,1114,Queens,20 Ave & 48 St,40.772899,-73.896849,999,Queens999
290,1116,Queens,Southpoint Park,40.753702,-73.958652,999,Queens999
291,1117,Queens,58 St & 32 Ave,40.75574,-73.903427,999,Queens999
292,1118,Bronx,E 188 St & Creston Ave,40.861669,-73.898589,999,Bronx999
293,1121,Bronx,Southern Blvd & Tiffany St,40.818185,-73.894143,999,Bronx999
294,1126,Bronx,E 149 St & Morris Ave,40.81734,-73.922962,999,Bronx999
295,1131,Queens,30 Ave & 47 St,40.761294,-73.909562,999,Queens999
296,1132,Bronx,Marion Ave & Mosholu Pkwy,40.870496,-73.881875,999,Bronx999
297,1133,Bronx,Brook Ave & E 141 St,40.809619,-73.917875,999,Bronx999
298,1136,Bronx,Grand Ave & W Fordham Rd,40.86288,-73.90316,999,Bronx999
299,1151,Bronx,Anthony Ave & E 175 St,40.846465,-73.903869,999,Bronx999
300,1153,Queens,27 Ave & 4 St,40.7747175,-73.9337894,999,Queens999
301,1157,Bronx,3 Ave & E 169 St,40.832678,-73.905158,999,Bronx999
302,1159,Queens,34 Ave & 45 St,40.754795,-73.917014,999,Queens999
303,1165,Bronx,Townsend Ave & E 175 St,40.84741,-73.911359,999,Bronx999
304,1168,Bronx,Nelson Ave & W 172 St,40.843965,-73.920999,999,Bronx999
305,1169,Bronx,Grand Concourse & E 166 St,40.83196,-73.91956,999,Bronx999
306,1175,Bronx,Ogden Ave & W 165 St,40.834457,-73.928381,999,Bronx999
307,1176,Queens,35 St & 21 Ave,40.776745,-73.906558,999,Queens999
308,1179,Bronx,University Ave & Brandt Pl,40.848354,-73.918389,999,Bronx999
309,1181,Queens,Vernon Blvd & 47 Rd,40.744907,-73.953457,999,Queens999
310,1190,Bronx,Alexander Ave & E 134 St,40.807466,-73.927107,999,Bronx999
311,1191,Queens,43 St & 37 Ave,40.750181,-73.919998,999,Queens999
312,1192,Bronx,3 Ave & E 170 St,40.834857,-73.903743,999,Bronx999
313,1201,Bronx,Weeks Ave & E 175 St,40.846879,-73.907342,999,Bronx999
314,1208,Queens,34 Ave & 13 St,40.7638753,-73.936484,999,Queens999
315,1209,Queens,31 St & 21 Ave,40.77813,-73.90842,999,Queens999
316,1210,Queens,50 St & Northern Blvd,40.753441,-73.912402,999,Queens999
317,1214,Bronx,Dawson St & Intervale Ave,40.819999,-73.897263,999,Bronx999
318,1217,Queens,Metropolitan Ave & Stewart Ave,40.71401,-73.92793,999,Queens999
319,1224,Queens,Vernon Blvd & 10 St,40.7671863,-73.937355,999,Queens999
320,1226,Bronx,Plaza Dr & W 170 St,40.840484,-73.917946,999,Bronx999
321,1228,Bronx,E 163 St & Union Ave,40.822545,-73.901824,999,Bronx999
322,1231,Bronx,E 171 St & 3 Ave,40.837119,-73.902185,999,Bronx999
323,1234,Queens,40 Ave & Crescent St,40.753599,-73.937956,999,Queens999
324,1236,Bronx,Grand Concourse & E 161 St,40.827115,-73.92272,999,Bronx999
325,1237,Bronx,E 142 St & 3 Ave,40.812735,-73.923,999,Bronx999
326,1241,Queens,Ditmars Blvd & 76 St,40.768442,-73.893531,999,Queens999
327,1242,Queens,Bulova Ave & Brooklyn Queens Expressway W,40.762507,-73.902534,999,Queens999
328,1245,Queens,Woodward Ave & Harman St,40.70793,-73.91092,999,Queens999
329,1250,Bronx,Jerome Ave & Ogden Ave,40.829797,-73.931015,999,Bronx999
330,1253,Bronx,Franklin Ave & E 169 St,40.83171,-73.90208,999,Bronx999
331,1256,Bronx,Tinton Ave & E 165 St,40.824796,-73.90242,999,Bronx999
332,1260,Bronx,Grand Concourse & E 192 St,40.86448,-73.89522,999,Bronx999
333,1261,Bronx,Gerard Ave & McClellan St,40.833909,-73.92112,999,Bronx999
334,1262,Queens,Hazen St & 20 Ave,40.772092,-73.895166,999,Queens999
335,1273,Queens,28 St & 41 Ave,40.751047,-73.93797,999,Queens999
336,1274,Bronx,Morris Ave & E 153 St,40.820036,-73.921411,999,Bronx999
337,1276,Bronx,Freeman St & Reverend James A Polite Ave,40.830529,-73.894717,999,Bronx999
